iter	Passed	Remaining
602	8836	5817
603	8853	5804
604	8870	5791
605	8886	5777
606	8902	5763
607	8916	5749
608	8932	5735
609	8949	5721
610	8961	5705
611	8973	5689
612	8990	5675
613	9006	5661
614	9022	5648
615	9034	5631
616	9051	5618
617	9068	5605
618	9083	5591
619	9100	5577
620	9112	5561
621	9128	5547
622	9144	5533
623	9158	5518
624	9171	5502
625	9185	5487
626	9202	5474
627	9219	5461
628	9232	5445
629	9243	5428
630	9254	5412
631	9269	5397
632	9283	5382
633	9300	5368
634	9315	5354
635	9332	5341
636	9346	5326
637	9362	5312
638	9376	5297
639	9388	5280
640	9403	5266
641	9420	5253
642	9435	5238
643	9453	5225
644	9469	5211
645	9487	5199
646	9504	5185
647	9520	5171
648	9536	5157
649	9548	5141
650	9560	5125
651	9577	5111
652	9592	5097
653	9606	5082
654	9620	5067
655	9635	5052
656	9651	5038
657	9668	5025
658	9683	5010
659	9698	4996
660	9716	4983
661	9732	4969
662	9748	4955
663	9758	4938
664	9772	4922
665	9789	4909
666	9804	4894
667	9819	4880
668	9832	4865
669	9847	4850
670	9863	4835
671	9875	4820
672	9889	4805
673	9905	4790
674	9922	4777
675	9940	4764
676	9952	4748
677	9964	4732
678	9978	4717
679	9994	4703
680	10011	4689
681	10028	4675
682	10044	4662
683	10062	4648
684	10077	4634
685	10092	4619
686	10109	4605
687	10122	4590
688	10139	4576
689	10155	4562
690	10170	4547
691	10188	4534
692	10203	4520
693	10218	4505
694	10237	4492
695	10256	4479
696	10274	4466
697	10288	4451
698	10304	4437
699	10317	4421
700	10333	4407
701	10346	4392
702	10361	4377
703	10375	4362
704	10387	4346
705	10401	4331
706	10413	4315
707	10427	4300
708	10442	4286
709	10455	4270
710	10470	4256
711	10486	4241
712	10503	4227
713	10518	4213
714	10531	4197
715	10543	4181
716	10555	4166
717	10569	4151
718	10586	4137
719	10601	4122
720	10617	4108
721	10631	4093
722	10647	4079
723	10664	4065
724	10680	4051
725	10698	4037
726	10714	4023
727	10731	4009
728	10748	3995
729	10761	3980
730	10776	3965
731	10790	3950
732	10804	3935
733	10821	3921
734	10837	3907
735	10850	3891
736	10868	3878
737	10887	3865
738	10902	3850
739	10918	3836
740	10935	3822
741	10949	3807
742	10960	3791
743	10975	3776
744	10991	3762
745	11008	3748
746	11024	3733
747	11040	3719
748	11058	3705
749	11074	3691
750	11090	3677
751	11106	3662
752	11122	3648
753	11139	3634
754	11151	3618
755	11164	3603
756	11178	3588
757	11195	3574
758	11210	3559
759	11227	3545
760	11245	3531
761	11258	3516
762	11270	3500
763	11280	3484
764	11295	3469
765	11309	3454
766	11323	3439
767	11339	3425
768	11354	3410
769	11367	3395
770	11380	3380
771	11395	3365
772	11409	3350
773	11425	3336
774	11443	3322
775	11459	3308
776	11475	3293
777	11491	3278
778	11505	3264
779	11522	3249
780	11540	3235
781	11553	3220
782	11565	3205
783	11581	3190
784	11595	3175
785	11615	3162
786	11632	3148
787	11648	3133
788	11665	3119
789	11680	3104
790	11696	3090
791	11711	3075
792	11726	3061
793	11743	3046
794	11756	3031
795	11769	3016
796	11785	3001
797	11799	2986
798	11813	2971
799	11826	2956
800	11839	2941
801	11855	2927
802	11870	2912
803	11886	2897
804	11901	2882
805	11920	2869
806	11938	2855
807	11953	2840
808	11964	2824
809	11977	2809
810	11993	2795
811	12008	2780
812	12025	2766
813	12040	2751
814	12057	2736
815	12074	2722
816	12089	2707
817	12105	2693
818	12122	2679
819	12138	2664
820	12149	2648
821	12161	2633
822	12174	2618
823	12189	2603
824	12204	2588
825	12219	2574
826	12234	2559
827	12249	2544
828	12265	2530
829	12280	2515
830	12291	2499
831	12304	2484
832	12319	2469
833	12334	2455
834	12348	2440
835	12361	2425
836	12374	2409
837	12393	2395
838	12409	2381
839	12424	2366
840	12440	2351
841	12455	2337
842	12472	2322
843	12489	2308
844	12503	2293
845	12519	2279
846	12537	2264
847	12552	2249
848	12563	2234
849	12576	2219
850	12593	2205
851	12609	2190
852	12625	2175
853	12641	2161
854	12657	2146
855	12673	2132
856	12691	2117
857	12707	2103
858	12722	2088
859	12740	2073
860	12751	2058
861	12762	2043
862	12777	2028
863	12791	2013
864	12804	1998
865	12817	1983
866	12832	1968
867	12850	1954
868	12866	1939
869	12882	1924
870	12899	1910
871	12915	1895
872	12931	1881
873	12945	1866
874	12957	1851
875	12968	1835
876	12983	1820
877	13000	1806
878	13016	1791
879	13033	1777
880	13048	1762
881	13064	1747
882	13079	1733
883	13098	1718
884	13113	1704
885	13129	1689
886	13147	1674
887	13160	1659
888	13171	1644
889	13187	1629
890	13202	1615
891	13221	1600
892	13236	1585
893	13253	1571
894	13269	1556
895	13285	1542
896	13301	1527
897	13312	1512
898	13323	1496
899	13336	1481
900	13348	1466
901	13360	1451
902	13373	1436
903	13388	1421
904	13404	1407
905	13419	1392
906	13435	1377
907	13451	1362
908	13467	1348
909	13483	1333
910	13497	1318
911	13515	1304
912	13531	1289
913	13546	1274
914	13559	1259
915	13571	1244
916	13588	1229
917	13600	1214
918	13617	1200
919	13629	1185
920	13644	1170
921	13673	1156
922	13689	1142
923	13710	1127
924	13728	1113
